line_text,speaker_id
"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",1
So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,0
"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",1
So what does downsizing actually mean?,0
Well...,0
You guys better update your resumes just like I'm doing.,0
I bet it's gonna be me. Probably gonna be me.,0
"Yeah, it'll be you.",0
I have an important question for you.,0
Yes?,0
Are you going to Angela's cat party on Sunday?,0
"Yeah, stop. That is ridiculous.",0
"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",1
Hey.,1
Hey.,0
This is Mr. Scott.,0
Guilty! Guilty as charged!,1
Ryan Howard from the temp agency. Daniqua sent me down to start today.,0
"Howard, like Moe Howard. Three Stooges.",1
Yup.,0
"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",1
"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",0
Dunder Mifflin. This is Pam.,0
"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",0
What?,0
What are you doing?,0
Just clearing my desk. I can't concentrate.,0
It's not on your desk.,0
"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",0
You can't do that.,0
Why not?,0
Safety violation. I could fall and pierce an organ.,0
[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,0
Downsizing?,0
"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",0
You just still have these messages from yesterday.,0
"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",1
What?,0
"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",1
Don't we all?,0
I'm sorry?,1
Nothing.,0
"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",1
"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",1
"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",1
Now I know there's some rumors out there and I just kind of want to set the record straight.,1
I'm Assistant Regional Manager. I should know first.,0
Assistant to the Regional Manager.,1
"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",0
I'm about to tell everybody. I'm just about to tell everybody.,1
Can't you just tell us.,0
"Please, OK? Do you want me to tell 'em?",0
You don't know what it is. [Laughs],1
OK. You tell 'em. With my permission. Permission granted.,0
I don't need your permission.,1
Go ahead.,0
Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,1
I heard they might be closing this branch down. That's just the rumor going around. This is my first day. I don't really know.,0
"Yeah but Michael, what if they downsize here?",0
Not gonna happen.,1
It could be out of your hands Michael.,0
"It won't be out of my hands Stanley, OK. I promise you that.",1
Can you promise that?,0
On his mother's grave.,0
No.,1
What?,0
"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",1
It's just that we need to know.,0
"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",1
I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,0
Are you sure about that?,0
"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",1
"Pam, information is power.",0
"You can't say for sure whether it'll be us or them, can you?",0
"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",1
"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",0
"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",0
"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",1
What's up? Nice to meet you.,0
Introduce yourself. Be polite.,1
"Dwight Schrute, Assistant Regional Manager.",0
"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",1
"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",0
That's his profit.,1
"New engine, new suspension, I got a respray. I've got some photos.",0
Damn it! Jim!,0
"OK. Hold on, hold on. The judge is in session. What is the problem here?",1
He put my stuff in Jell-O again.,0
[Laughing],0
That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,0
"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",0
What is that?,1
That is my stapler.,0
"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",1
"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",0
How do you know it was me?,0
It's always you. Are you going to discipline him or not?,0
"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",1
Yeah.,0
"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",1
"OK. Dwight, I'm sorry, because I have always been your biggest flan.",0
[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,1
You should've put him in custardy.,0
Hey! Yes! New guy! He scores.,1
"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",0
Pudding. Pudding... I'm trying to think of another dessert to do.,1
Do you like going out at the end of the week for a drink?,0
Yeah.,0
That's why we're all going out. So we can have an end-of-the-week-drink.,0
So when are we going out?,0
"Tonight, hopefully.",0
OK. Yeah.,0
"Hey, man.",0
What's going on?,0
"Hey, baby.",0
Hey.,0
Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,0
Do you mind if I go out for a drink with these guys?,0
"No, no. Come on. Let's get out of here and go home.",0
OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,0
You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,0
"It sounds good. Seriously, we've gotta get going.",0
"Yeah, yeah.",0
Um... What's in the bag?,0
Just tell her I'll talk to her later.,0
"No, definitely. All right, dude. Awesome. Will do.",0
Do I think I'll be invited to the wedding? [scratches head],0
"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",1
Yeah.,0
"You are gonna be my accomplice. Just go along with it, OK?",1
All right.,0
"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",1
You got a fax.,0
"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",1
What? Why?,0
"Why? Well, theft and stealing.",1
Stealing? What am I supposed to have stolen?,0
Post-it Notes.,1
"Post-it Notes? What are those worth, 50 cents?",0
"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam.",1
Are you serious?,0
Yeah. I am.,1
I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,0
But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,1
"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",1
You're a jerk.,0
I don't know about that.,1
"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",1
Hey.,0
Hey.,0
How are things?,0
Good. I thought you were going out for a drink with...,0
"Oh no, I just decided not to. How's your headache?",0
"It's better, thanks.",0
Good. Good.,0
Yeah.,0
That's great,0
Is...?,0
Yeah?,0
Um... Are you...,0
Am I walking out?,0
Yes.,0
"Yes, I... Do you want to...",0
Yeah.,0
Great. Let me just...,0
"[Car horn honking] Oh, Roy.",0
"Yeah. Listen, have a nice weekend.",0
"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",0
"Dwight Schrute. My father's name, also Dwight Schrute. My grandfather's name, Dweide Schrude, Amish. That's my family. I don't know where they came, the Amish, came from originally. Uh, Amland.",0
[holding up a Dundie and pretending it is talking] Hello. I'm Michael Scott. I'm the best boss in the world.,1
"My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless.  They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don't know.",0
"Pam! Pam-Pam! Pam has been with us for...  forever. Right, Pam?",1
I guess.,0
"Yeah, at one time or another every guy in the office has sprayed on Pam.",1
What?,0
Messages?,1
"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.",0
"Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?",1
"Uh, Shemp.",0
Curly? Very good. Curly Joe DeRita.,1
Just Curly. Joe DeRita was different.,0
"Well, comedy's kinda my thing. Watch this, here's Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I'm Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]",1
"All these people are walking around and they're happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] 'I'm gonna get you, downsizing.' No. They wouldn't... They'd freak. And I'm not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that's what I'm going to do.",1
"So this is our sales staff. They are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] This is accounting. The numbers dudes. Do not let the job description fool you, they are all completely crazy. Especially that guy, he is a mental patient. [camera zooms in on Kevin] Not literally of course, that wouldn't work. The last place you'd want somebody like that is accounting. [hides behind office plant] 'Very interesting, but stupid.' Artie Johnson. It's a crazy place.",1
"My name is Angela and um, I'm in charge of the accounting department. There are three of us, Kevin and Oscar.",0
"It's my job to keep the books in order. And, um, I... I'm, uh, immediately below my supervisor.",0
"Oscar, how do I describe him. He's like a stapler. Do I need a stapler? Yes. But, I'm still the one that has to push it down.",0
There's a lot of anxiety. I don't want to get laid off. This place is like five minutes from my house.,0
I don't wanna be laid off. This is a good job for me. 'Cause I need my nights free. I'm in a band.,0
"Not very worried about downsizing right now. Because, uh, I think you've met Kevin and um...",0
"Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So... You know 'cause... Yeah we work in paper. Well, you know, I try to give back.",0
"I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too.",0
"What you don't know... Well, it can hurt you, but if you don't know it won't hurt you. Then, you can just be happy for a little while at least.",1
What's that?,1
Wired.,0
"Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.",1
"Oh, yeah.",0
"Yeah. I thought I found a lump. I checked the, uh... I check the jewels every month. This time... You know, it's a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So... What's, um... What you eating?",1
Smoked turkey.,0
"Oh, place around the corner. Nice. All right. See you later.",1
Do I need to speak up? [grabs boom microphone] Hello.,1
[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?,0
That's fine.,0
"[new take] No, you don't even need ... That's fine. We'll keep it...",0
I'm sorry it makes me nervous.,0
"Understood, but it is what we need to capture what you're saying as clearly as possible.",0
"I understand. It's in a blind spot because I'm trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. It could be behind you or whatever. This is directly in a blind spot, so I'm trained to respond negatively to something right above my head. [new take] This now I have an eye on. You see, it's on my periphery and if I needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] I could come right out. I mean, I know you're doing your job, but... Documentary Crew Member: [talking over Dwight] It's...",0
I'm doing my job.,0
"I think better to be a happy idiot then a, um... Then someone who knows the truth.",1
"Hey, uh, can I help you out in here?",1
"Oh, I'm all set, thanks.",0
Gotcha. Good. I'd go with the rows. That's a good idea.,1
"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited.",1
"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",0
Do you really have to do that right now?,0
Yes I do. I should have done it weeks ago actually.,0
"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",0
Retaliation. Tit for tit.,0
That is not the expression.,0
"Well, it should be.",0
"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",0
Solitaire?,0
"Yeah, Freecell.",0
Six on seven.,0
I know. I saw that.,0
"So then, why didn't you do it?",0
I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,0
Who doesn't love that?,0
"Hey, Oscar! How are you doing, man?",1
All right.,0
Did you have a good weekend going there?,1
It was fine.,0
"Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---",1
Martinez.,0
"Right. See? I don't even know, first-name basis!",1
Great. We're all set.,0
"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",1
"Yeah, uh, Mr. Decker, please.",0
"It's diversity day, Jim. I wish every day was diversity day.",1
You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,0
Thank you. Thank you. Thank you. Great.,0
"Come on people, let's get 'em in. Get in the cards! Get in the cards!",1
"Thank you. Thank you very much. OK. Thanks for filling these out and I promise this'll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.",0
"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",1
"Uh, see this is what I'm talking about. We don't have to pretend we're color-blind.",0
"Exactly, were not...",1
That's fighting ignorance with more ignorance.,0
With tolerance.,1
No. With more ignorance.,0
Ignorance.,1
"Right. Exactly. Uh, instead, we need to celebrate our diversity.",0
Let's celebrate.,1
Right. OK.,0
Celebrate good times. Come on! Let's celebrate diversity. Right?,1
"Yes, exactly. Now here's what we're going to do. I've noticed that...",0
You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,1
I have two. White and Indian.,0
"Actually, I'd prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?",0
Yes.,1
Thank you very much. And it would also help me if you were seated.,0
OK.,1
"Thank you. OK. Now, at the start of the session, I had you all write down an incident that you found offensive in the workplace. Now, what I'm going to do is choose one and we're going to act it out.",0
A few of the ground rules?,0
"Hey, hey why don't you run it by me and I'll run it by him.",1
"OK, can we steer away from gay people?",0
Um...,0
"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",0
"Well, we only have an hour.",0
I figured it would save time.,0
OK. Why don't we just defer to Mr...,1
Mr. Brown.,0
"Ah. Oh, right! OK. First test. I will not call you that.",1
"Well, it's my name. It's not a test. OK? Um, so looking through the cards, I've noticed that many of you wrote down the same incident, which is ironic, because it's the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.",0
"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",1
So we're going to reenact this with a more positive outcome.,0
I will play the Chris Rock guy. I would like to see someone else pull this off.,1
"Well, let's have someone who wasn't involved in the reenactment.",0
"OK, I will play guy listening.",1
"Great. Guy listening. Ok, anyone else remember?",0
I remember.,0
Great. You're the Chris Rock guy and you're guy listening.,0
OK.,1
Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,1
"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.",0
"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me... [As Chris Rock] Every time... Every time black people want to have a good time, some ignant ass... [Bleep] I take care of my kid!",1
Wait a second.,0
[Bleep] They always want credit for something they supPOSED to do!,1
Stop it!,0
[As Chris Rock] What you want a cookie?,1
"Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.",0
"Excuse me, I'm sorry, but that's not all it takes to be a hero.",0
"Oh, great. Well, what is a hero to you?",0
"A hero kills people, people that wish him harm.",0
OK.,0
"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",0
"Ok, you're thinking of a superhero.",0
We all have a hero in our heart.,0
"Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look 'em over and sign them as kind of a group pledge.",0
[Clears throat] I don't think I can sign this.,1
I can't leave until you do.,0
"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",1
"Michael, can I talk to you candidly?",0
Sure.,1
We both know that I'm here because of the comments you made.,0
"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",1
"Um, it's not throwing me. I need your signature.",0
"OK, well I know. You told me that several times.",1
"Yes, but you're not listening to me. Yours is the only signature I need.",0
OK.,1
Those are my instructions from the Corporate offices to put you through this seminar for the comments that you made. The reason I made copies for everyone was so you wouldn't be embarrassed.,0
"Well, here I am thinking that you actually cared about diversity training. And you don't.",1
Don't worry about dating.,0
I won't.,1
OK. Thank you.,0
"Yeah, yeah.",1
"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.",1
"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.",0
"I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",1
All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,1
"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",0
Get out.,1
I'm sorry.,0
"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape.",1
"[on the tape] Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles that I carry with me in the workplace.",1
OK. Questions? Comments? Anybody? Jim?,1
": Uh, is that it?",0
Yes. I only had an hour to put it together but I'm going to add on to it later on.,1
It was kind of hard to hear.,0
"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",1
I have a customer meeting.,0
"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",1
What part Native American?,0
Two fifteenths.,1
"Two fifteenths, that fraction doesn't make any sense.",0
"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.",1
"OK, Michael, um... Both my parents were born in Mexico.",0
"Oh, yeah...",1
"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",0
Wow.,1
My parents were Mexican.,0
"Wow. That is... That is a great story. That's the American Dream right there, right?",1
Thank... Yeah...,0
"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",1
Mexican isn't offensive.,0
"Well, it has certain connotations.",1
Like what?,0
Like... I don't... I don't know.,1
"What connotations, Michael? You meant something.",0
"No. Now, remember that honesty...",1
I'm just curious.,0
"...empathy, respect... [Phone ringing] Jim! Jim!",1
Hello? Hello?,0
"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done.",1
Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...,1
Oh this is a good one.,1
"Um, hi. How are you?",0
Fine. How are you?,0
Great.,0
Push it.,1
I admire your culture's success in America.,0
Thank you.,0
Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,1
Who am I supposed to be?,0
"No, that was inadvertent. We didn't actually plan that.",1
"Lots of cultures eat rice, doesn't help me.",0
Um... Shalom. I'd like to apply for a loan.,0
"That's nice, Dwight.",0
"OK, do me. Something stereotypical so I can get it really quick.",0
"OK, I like your food.",0
"Outback steakhouse. [Australian accent] I'm Australian, mate!",0
"Pam, come on. 'I like your food.' Come on stir the pot. Stir the melting pot, Pam! Let's do it. Let's get ugly. Let's get real.",1
"OK. If I have to do this, based on stereotypes that are totally untrue, that I do not agree with, you would maybe not be  a very good driver.",0
"Oh, man, am I a woman?",0
"You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. 'Too soon for Arabs.' Maybe next year. Um... You know, the ball's in their court.",1
What are you watching?,0
Chappelle's Show.,0
Really?,0
I downloaded it on her computer. I hope she doesn't mind. She just had a lot of extra space.,0
No way. I think she likes this stuff.,0
"Great. She's cute, huh?",0
"Yeah, you know, she's engaged, but...",0
"Oh, no, the girl in the... sketch.",0
"Oh, yeah. She's hot.",0
Hey.,0
Hey.,0
You wanna go to the beach?,0
